Familia,Tipo,FechaCompleta,Porcentaje,Valor,Dia,Hora,BajasEmisiones
Renovable,Solar fotovoltaica,2023-01-25T23:00:00.000Z,0.09912450168230358,54239.571,2023-01-25,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-26T23:00:00.000Z,0.13261430988963,76883.741,2023-01-26,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-27T23:00:00.000Z,0.16077273025980948,82973.756,2023-01-27,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-28T23:00:00.000Z,0.18303856382927178,80274.005,2023-01-28,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-29T23:00:00.000Z,0.19535650853745246,80963.951,2023-01-29,23:00:00,true
Renovable,Solar fotovoltaica,2023-01-30T23:00:00.000Z,0.18119129100271522,84208.401,2023-01-30,23:00:00,true
Renovable,Solar térmica,2022-12-31T23:00:00.000Z,0.0028830468004334576,811.405,2022-12-31,23:00:00,true
Renovable,Solar térmica,2023-01-01T23:00:00.000Z,7.01155844332967E-4,194.716,2023-01-01,23:00:00,true
Renovable,Solar térmica,2023-01-02T23:00:00.000Z,0.011642502663101961,3462.572,2023-01-02,23:00:00,true
Renovable,Solar térmica,2023-01-03T23:00:00.000Z,0.016690361838511136,4732.083,2023-01-03,23:00:00,true
Renovable,Solar térmica,2023-01-04T23:00:00.000Z,0.01974214011637437,5249.039,2023-01-04,23:00:00,true
Renovable,Solar térmica,2023-01-05T23:00:00.000Z,0.01577950818684147,4585.892,2023-01-05,23:00:00,true
Renovable,Solar térmica,2023-01-06T23:00:00.000Z,0.0020398897993650993,873.13,2023-01-06,23:00:00,true
Renovable,Solar térmica,2023-01-07T23:00:00.000Z,1.2300453625074494E-4,59.494,2023-01-07,23:00:00,true
Renovable,Solar térmica,2023-01-08T23:00:00.000Z,0.0021834882965544966,1020.745,2023-01-08,23:00:00,true
Renovable,Solar térmica,2023-01-09T23:00:00.000Z,0.0056218500489463264,2376.949,2023-01-09,23:00:00,true
Renovable,Solar térmica,2023-01-10T23:00:00.000Z,0.0023503329472672045,943.425,2023-01-10,23:00:00,true
Renovable,Solar térmica,2023-01-11T23:00:00.000Z,0.009791197448798153,3836.722,2023-01-11,23:00:00,true
Renovable,Solar térmica,2023-01-12T23:00:00.000Z,0.006826536421760873,2668.354,2023-01-12,23:00:00,true
Renovable,Solar térmica,2023-01-13T23:00:00.000Z,0.008607857985709653,3407.815,2023-01-13,23:00:00,true
